creation_date,number_of_works,total_number_of_words
1/18/2010,536,1616870
1/19/2010,356,1144530
1/20/2010,273,914770
1/21/2010,135,644549
1/22/2010,371,1462326
1/23/2010,601,2269688
1/24/2010,381,1309477
1/25/2010,349,915088
1/26/2010,253,875476
1/27/2010,219,1040474
1/28/2010,314,1466637
1/29/2010,372,1409487
1/30/2010,494,2100510
1/31/2010,489,1692870
2/1/2010,366,1324313
2/2/2010,366,1206052
2/3/2010,249,1147581
2/4/2010,242,1099631
2/5/2010,175,519651
2/6/2010,304,1014368
2/7/2010,335,1338026
2/8/2010,152,605971
2/9/2010,208,1128946
2/10/2010,174,588769
2/11/2010,218,749601
2/12/2010,250,457961
2/13/2010,271,598216
2/14/2010,353,1170867
2/15/2010,325,1584464
2/16/2010,296,1171458
2/17/2010,189,532483
2/18/2010,186,488893
2/19/2010,233,815335
2/20/2010,437,999726
2/21/2010,223,893767
2/22/2010,252,818721
2/23/2010,216,861426
2/24/2010,207,1113621
2/25/2010,259,1074396
2/26/2010,172,587477
2/27/2010,184,510281
2/28/2010,352,1358570
3/1/2010,179,490044
3/2/2010,321,707172
3/3/2010,282,781445
3/4/2010,256,665251
3/5/2010,126,568665
3/6/2010,343,991107
3/7/2010,233,784672
3/8/2010,185,962041
3/9/2010,317,1253418
3/10/2010,328,963171
3/11/2010,292,1364617
3/12/2010,267,891195
3/13/2010,377,1265756
3/14/2010,345,1472918
3/15/2010,167,597159
3/16/2010,209,576443
3/17/2010,288,803982
3/18/2010,319,1153349
3/19/2010,399,1133588
3/20/2010,288,786335
3/21/2010,284,1193673
3/22/2010,441,1812683
3/23/2010,254,896055
3/24/2010,287,1139569
3/25/2010,196,621979
3/26/2010,186,1014947
3/27/2010,362,1030919
3/28/2010,226,581686
3/29/2010,275,774362
3/30/2010,268,691179
3/31/2010,243,619167
4/1/2010,356,1055301
4/2/2010,474,1834202
4/3/2010,343,1177419
4/4/2010,170,824212
4/5/2010,233,690690
4/6/2010,131,586355
4/7/2010,189,683347
4/8/2010,248,1156433
4/9/2010,243,820315
4/10/2010,290,931847
4/11/2010,324,1231790
4/12/2010,218,911223
4/13/2010,199,1062047
4/14/2010,183,1556696
4/15/2010,203,698432
4/16/2010,205,576477
4/17/2010,156,550736
4/18/2010,162,541725
4/19/2010,222,717182
4/20/2010,186,411082
4/21/2010,104,306041
4/22/2010,197,675951
4/23/2010,174,807306
4/24/2010,168,1167670
4/25/2010,251,934009
4/26/2010,247,694043
4/27/2010,277,1457769
4/28/2010,135,791959
4/29/2010,97,464046
4/30/2010,72,363375
5/1/2010,134,718362
5/2/2010,185,932466
5/3/2010,198,853092
5/4/2010,233,1037873
5/5/2010,206,672888
5/6/2010,148,811760
5/7/2010,117,610624
5/8/2010,131,511364
