creation_date,number_of_works,total_number_of_words
4/25/2017,2003,17607384
4/26/2017,1888,15197018
4/27/2017,1831,15229783
4/28/2017,1829,13766330
4/29/2017,2147,14648205
4/30/2017,2376,18233234
5/1/2017,3961,23770928
5/2/2017,2040,16569405
5/3/2017,4014,23364683
5/4/2017,1792,14038715
5/5/2017,1812,15601514
5/6/2017,1843,14645878
5/7/2017,2249,18830096
5/8/2017,2135,19739269
5/9/2017,1835,15832685
5/10/2017,1895,15238447
5/11/2017,1707,13547387
5/12/2017,1639,13273489
5/13/2017,1766,14379018
5/14/2017,2110,16472126
5/15/2017,2017,16015976
5/16/2017,1924,16844694
5/17/2017,1825,15891646
5/18/2017,1743,14383820
5/19/2017,1792,14390640
5/20/2017,1896,16721541
5/21/2017,2110,17780122
5/22/2017,2022,19783781
5/23/2017,1846,13895719
5/24/2017,2005,16067765
5/25/2017,1879,16224193
5/26/2017,1925,16189853
5/27/2017,2004,16579622
5/28/2017,2130,16498449
5/29/2017,2489,20774761
5/30/2017,2244,18407186
5/31/2017,2210,17069355
6/1/2017,2159,16565944
6/2/2017,2077,16967648
6/3/2017,2073,15049395
6/4/2017,2236,18950063
6/5/2017,2287,18290527
6/6/2017,2067,15134288
6/7/2017,3365,23372744
6/8/2017,4920,30102056
6/9/2017,1878,14626619
6/10/2017,1905,16910447
6/11/2017,2132,17221855
6/12/2017,1998,16163379
6/13/2017,1924,14850998
6/14/2017,1858,16441445
6/15/2017,2127,16731814
6/16/2017,1920,15010587
6/17/2017,1933,14054090
6/18/2017,2253,17616371
6/19/2017,2253,16645077
6/20/2017,2091,16878348
6/21/2017,2112,17227904
6/22/2017,1948,15075471
6/23/2017,2013,16383379
6/24/2017,1962,17419720
6/25/2017,2307,17721348
6/26/2017,2200,17028335
6/27/2017,2088,16991882
6/28/2017,4180,36922578
6/29/2017,3266,26798205
6/30/2017,2108,17804665
7/1/2017,2337,21198684
7/2/2017,2474,20616066
7/3/2017,2357,17503430
7/4/2017,2346,17584994
7/5/2017,2230,16652001
7/6/2017,2283,18327570
7/7/2017,2282,16446131
7/8/2017,2167,16632557
7/9/2017,2375,20054156
7/10/2017,2476,19534811
7/11/2017,2444,20176091
7/12/2017,2043,16367975
7/13/2017,2049,16394072
7/14/2017,2093,16407272
7/15/2017,2177,17367683
7/16/2017,2264,16827125
7/17/2017,2153,17054209
7/18/2017,2105,17221813
7/19/2017,2176,16656404
7/20/2017,2158,15323446
7/21/2017,2078,16867217
7/22/2017,2109,17610855
7/23/2017,2434,20127020
7/24/2017,2327,18120561
7/25/2017,2326,17422072
7/26/2017,2244,15392382
7/27/2017,1988,15135897
7/28/2017,1969,15039552
7/29/2017,1993,16297130
7/30/2017,2214,18179770
7/31/2017,2289,19894033
8/1/2017,2219,18739179
8/2/2017,2198,17296511
8/3/2017,2186,16313171
8/4/2017,2093,19235511
8/5/2017,2138,17954559
8/6/2017,2476,20975229
8/7/2017,2195,20953364
8/8/2017,2227,18252518
8/9/2017,2085,17257829
8/10/2017,1903,14770864
8/11/2017,2012,16518821
8/12/2017,1972,14373439
8/13/2017,2088,17416846
8/14/2017,2139,17402224
8/15/2017,2139,19002802
8/16/2017,2036,16334146
8/17/2017,1885,15647027
8/18/2017,2075,19167851
8/19/2017,2022,16085829
8/20/2017,2528,20043443
8/21/2017,2434,18479547
8/22/2017,1950,14816229
8/23/2017,1789,15193923
8/24/2017,1833,14319446
8/25/2017,1783,15219174
8/26/2017,1967,15130208
8/27/2017,2193,17616048
8/28/2017,2119,16657161
8/29/2017,1974,14539850
8/30/2017,1925,14105363
8/31/2017,2020,15875360
9/1/2017,2018,18584613
9/2/2017,2042,16959152
9/3/2017,2230,16665723
9/4/2017,2409,20191792
9/5/2017,2052,15611650
9/6/2017,1966,15909616
9/7/2017,1705,12895061
9/8/2017,1775,13440051
9/9/2017,1929,14948036
9/10/2017,2319,16297868
9/11/2017,2023,16605198
9/12/2017,3393,28822820
9/13/2017,2858,21931022
9/14/2017,1709,14224146
9/15/2017,1718,13378399
9/16/2017,1848,14893385
9/17/2017,2197,17732085
9/18/2017,2017,15113421
9/19/2017,1851,15032688
9/20/2017,1774,16088031
9/21/2017,1676,12423487
9/22/2017,1692,14565572
9/23/2017,1829,16750874
9/24/2017,2212,18600821
9/25/2017,2007,17071378
9/26/2017,1846,14891964
9/27/2017,1698,14430688
9/28/2017,1684,13751265
9/29/2017,1676,12167087
9/30/2017,1938,14859581
10/1/2017,2391,22130877
10/2/2017,2253,19401998
10/3/2017,2029,14443284
10/4/2017,1938,13325158
10/5/2017,1827,13135833
10/6/2017,1846,15179568
10/7/2017,2048,15647147
10/8/2017,2298,18718433
10/9/2017,2221,16193603
10/10/2017,2020,13949469
10/11/2017,1943,15244801
10/12/2017,1837,18102454
10/13/2017,1948,13485180
10/14/2017,1987,15114595
10/15/2017,2387,17841215
